"","ID","Desired.Direction","Critical","Agency.Number","UAAgyConcat","Agency.Full.Name.y","Unit.of.Appropriation","U.A.Name","2019","2023","2016","2021","2018","2017","2020","2022","Success","Service","Goal","Indicator","Target.MMR","YTDScaled","Avg3yr","Avg5yr","OneYrImproving","ThreeYrImproving","FiveYrImproving"
"11",880,"Up","Yes","826","8268","Department of Environmental Protection","8","WASTEWATER TREATMENT",99.6,99.8,99.5,99.8,99.7,99.8,99.9,99.7,"Did_Not_Meet","Treat wastewater and sewage to protect water quality in the receiving waters surrounding the City.","Maintain high levels of compliance with federal and State treatment standards for wastewater and sewage entering receiving waters.","Water resource recovery facility effluent meeting State Pollutant Discharge Elimination Standards (%)",100,99.8,99.8,99.74,"Improving","Improving","Improving"
"12",883,"Down","No","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",459,482.963642117002,397,446,521,428,370,459,NA,"Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Water main breaks",NA,482.963642117002,425,451,"Not_Improving","Not_Improving","Not_Improving"
"13",886,"Down","Yes","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",0.46,0.38,0.52,0.28,0.4,0.54,0.38,0.26,"Met_Goal","Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Broken and inoperative hydrants (%)",1,0.38,0.306666666666667,0.356,"Not_Improving","Not_Improving","Not_Improving"
"14",890,"Down","Yes","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",3.6,4.2,3.7,2.7,3.7,3.8,3.1,15.5,"Met_Goal","Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Sewer backup resolution time (hours)",7,4.2,7.1,5.72,"Improving","Improving","Improving"
"15",893,"Down","Yes","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",7.82,3.75,4,3.55,6.86,4.95,7.81,3.69,"Met_Goal","Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Clogged catch basin resolution time (days)",9,3.75,5.01666666666667,5.946,"Not_Improving","Improving","Improving"
"16",894,"Down","No","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",3769,4092.326001107,4174,2839,3769,3847,3098,3905,NA,"Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Street cave-in complaints received",NA,4092.326001107,3280.66666666667,3476,"Not_Improving","Not_Improving","Not_Improving"
"17",896,"Down","Yes","826","8267","Department of Environmental Protection","7","CENTRAL UTILITY",2.8,4.2,3,2.8,3,2.8,2.4,3.5,"Did_Not_Meet","Bill and collect revenue for water and sewer usage.","Ensure that customer billing is accurate, transparent and fair.","Estimated bills (%)",4,4.2,2.9,2.9,"Not_Improving","Not_Improving","Not_Improving"
"18",898,"Up","No","826","8267","Department of Environmental Protection","7","CENTRAL UTILITY",3824.8,3982.23665663029,3852.6,3575,3602.3,3852,3800,3772,"Met_Goal","Bill and collect revenue for water and sewer usage.","Meet revenue targets established by the NYC Water Board.","Total revenue collected ($000,000)",3726,3982.23665663029,3715.66666666667,3714.82,"Improving","Improving","Improving"
"19",901,"Down","No","826","8267","Department of Environmental Protection","7","CENTRAL UTILITY",556.9,824.2,519.4,770.1,507.7,542.84,624.5,822.8,NA,"Bill and collect revenue for water and sewer usage.","Ensure that customer billing is accurate, transparent and fair.","Accounts receivable balance - Accounts delinquent more than 180 days ($000,000)",NA,824.2,739.133333333333,656.4,"Not_Improving","Not_Improving","Not_Improving"
"20",907,"Up","No","826","8262","Department of Environmental Protection","2","ENVIRONMENTAL MANAGEMENT",100,100,100,100,100,100,100,100,"Met_Goal","Enforce City laws relating to air pollution, noise pollution and hazardous materials.","Investigate complaints in a timely manner.","Asbestos complaints responded to within three hours (%)",100,100,100,100,"Improving","Improving","Improving"
"21",908,"Up","No","826","8262","Department of Environmental Protection","2","ENVIRONMENTAL MANAGEMENT",99,99,95,99,97,96,100,99,"Met_Goal","Enforce City laws relating to air pollution, noise pollution and hazardous materials.","Investigate complaints in a timely manner.","Air complaints responded to within seven days (%)",88,99,99.3333333333333,98.8,"Improving","Not_Improving","Improving"
"22",909,"Up","No","826","8262","Department of Environmental Protection","2","ENVIRONMENTAL MANAGEMENT",99,99,97,100,99,98,100,99,"Met_Goal","Enforce City laws relating to air pollution, noise pollution and hazardous materials.","Investigate complaints in a timely manner.","Noise complaints not requiring access to premises responded to within seven days (%)",88,99,99.6666666666667,99.4,"Improving","Not_Improving","Not_Improving"
"23",916,"Down","Yes","826","8262","Department of Environmental Protection","2","ENVIRONMENTAL MANAGEMENT",4.12,3.79,5.58,3.2,4.77,4.32,3.17,4.06,"Met_Goal","Enforce City laws relating to air pollution, noise pollution and hazardous materials.","Investigate complaints in a timely manner.","Average days to close noise complaints",7,3.79,3.47666666666667,3.864,"Improving","Not_Improving","Improving"
"24",921,"Down","No","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",0.25,0.736854859097385,0.47,0.51,0.36,0.31,0.14,0.35,NA,"Ensure the sufficiency, quality and security of the City’s drinking water supply.","Comply with all federal and State drinking water quality standards.","Samples testing positive for coliform bacteria (%)",NA,0.736854859097385,0.333333333333333,0.322,"Not_Improving","Not_Improving","Not_Improving"
"25",924,"Down","Yes","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",4.74,5.95,4.17,4.1,4.46,4.42,4.88,4.3,"Met_Goal","Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Average time to restore water to customers after confirming breaks (hours)",6,5.95,4.42666666666667,4.496,"Not_Improving","Not_Improving","Not_Improving"
"26",926,"Down","Yes","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",2.48,1.95,2.9,2.46,2.9,2.54,2.27,2.14,"Met_Goal","Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Average time to repair or replace high-priority broken or inoperative hydrants (days)",5,1.95,2.29,2.45,"Improving","Improving","Improving"
"27",928,"Down","No","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",10662,8653.34277256346,8020,7241,7673,8942,6613,11447,NA,"Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Catch basin complaints received",NA,8653.34277256346,8433.66666666667,8727.2,"Improving","Not_Improving","Improving"
"28",932,"Down","No","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",1.89,0.84,4.6,0.71,1.87,1.85,1.22,0.79,NA,"Maintain the City’s water delivery and sewer collection systems.","Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.","Average time to respond to street cave-in complaints and make safe (days)",NA,0.84,0.906666666666667,1.296,"Not_Improving","Improving","Improving"
"29",933,"Up","No","826","8267","Department of Environmental Protection","7","CENTRAL UTILITY",62,67.2,63.1,56.2,60.5,60.8,61.1,61.2,NA,"Bill and collect revenue for water and sewer usage.","Meet revenue targets established by the NYC Water Board.","Billed amount collected in 30 days (%)",NA,67.2,59.5,60.2,"Improving","Improving","Improving"
"30",934,"Up","Yes","826","8267","Department of Environmental Protection","7","CENTRAL UTILITY",101.4,100.5,104.5,107.8,99.8,104.3,99.6,107,"Met_Goal","Bill and collect revenue for water and sewer usage.","Meet revenue targets established by the NYC Water Board.","Total revenue as percent of target (%)",100,100.5,104.8,103.12,"Not_Improving","Not_Improving","Not_Improving"
"31",935,"Down","Yes","826","8262","Department of Environmental Protection","2","ENVIRONMENTAL MANAGEMENT",3.93,2.49,4,3.03,4.23,2.47,2.87,2.8,"Met_Goal","Enforce City laws relating to air pollution, noise pollution and hazardous materials.","Investigate complaints in a timely manner.","Average days to close air quality complaints",7,2.49,2.9,3.372,"Improving","Improving","Improving"
"32",936,"Down","Yes","826","8262","Department of Environmental Protection","2","ENVIRONMENTAL MANAGEMENT",0.91,0.62,0.34,0.79,0.74,0.34,0.65,0.62,"Met_Goal","Enforce City laws relating to air pollution, noise pollution and hazardous materials.","Investigate complaints in a timely manner.","Average days to close asbestos complaints",1,0.62,0.686666666666667,0.742,"Improving","Improving","Improving"
"33",940,"Up","Yes","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,93.5,95,93.7,95.1,95.9,96.4,89.5609,"Met_Goal","Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%)",92,93.5,93.2203,93.690225,"Improving","Improving","Not_Improving"
"34",941,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,99.3769,97.3665,96.0434,95.3609,96.7822,NA,96.0434,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 01",NA,99.3769,96.0434,95.8159,"Improving","Improving","Improving"
"35",942,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,94.9806,97.3858,94.0246,96.2803,96.9779,NA,94.0246,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 02",NA,94.9806,94.0246,94.7765,"Improving","Improving","Improving"
"36",943,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,95.3096,90.9791,84.7815,90.9784,92.2659,NA,84.7815,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 03",NA,95.3096,84.7815,86.8471333333333,"Improving","Improving","Improving"
"37",944,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,95.3117,95.4821,96.0703,95.5766,96.9539,NA,96.0703,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 04",NA,95.3117,96.0703,95.9057333333333,"Not_Improving","Not_Improving","Not_Improving"
"38",945,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,98.8254,96.7131,95.2405,94.4305,97.6424,NA,95.2405,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 05",NA,98.8254,95.2405,94.9705,"Improving","Improving","Improving"
"39",946,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,95.7405,97.9673,91.9628,96.5258,96.4356,NA,91.9628,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 06",NA,95.7405,91.9628,93.4838,"Improving","Improving","Improving"
"40",947,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,97.4236,96.3037,96.2273,96.9852,97.7832,NA,96.2273,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 07",NA,97.4236,96.2273,96.4799333333333,"Improving","Improving","Improving"
"41",948,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,98.217,97.9243,97.724,97.2492,97.3695,NA,97.724,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 08",NA,98.217,97.724,97.5657333333333,"Improving","Improving","Improving"
"42",949,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,85.7392,94.5394,93.2476,93.5721,93.9298,NA,93.2476,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 09",NA,85.7392,93.2476,93.3557666666667,"Not_Improving","Not_Improving","Not_Improving"
"43",950,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,80.1713,91.2515,76.3711,91.2824,92.0902,NA,76.3711,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 10",NA,80.1713,76.3711,81.3415333333333,"Improving","Improving","Not_Improving"
"44",951,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,94.6298,91.5825,83.6707,91.2254,95.5893,NA,83.6707,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 11",NA,94.6298,83.6707,86.1889333333333,"Improving","Improving","Improving"
"45",952,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,84.2731,87.648,78.6651,89.7908,92.9471,NA,78.6651,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Manhattan 12",NA,84.2731,78.6651,82.3736666666667,"Improving","Improving","Improving"
"46",953,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,89.4381,90.7177,81.9506,90.3675,90.2685,NA,81.9506,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 01",NA,89.4381,81.9506,84.7562333333333,"Improving","Improving","Improving"
"47",954,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,83.9381,92.3221,66.7683,92.3294,93.59,NA,66.7683,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 02",NA,83.9381,66.7683,75.2886666666667,"Improving","Improving","Improving"
"48",955,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,89.7189,89.7362,74.1772,91.088,89.2463,NA,74.1772,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 03",NA,89.7189,74.1772,79.8141333333333,"Improving","Improving","Improving"
"49",956,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,77.6232,92.2273,77.0612,92.7351,93.8984,NA,77.0612,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 04",NA,77.6232,77.0612,82.2858333333333,"Improving","Improving","Not_Improving"
"50",957,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,75.7576,90.7285,78.8808,91.8616,92.1366,NA,78.8808,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 05",NA,75.7576,78.8808,83.2077333333333,"Not_Improving","Not_Improving","Not_Improving"
"51",958,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,91.6477,92.2725,80.2273,91.9303,94.1352,NA,80.2273,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 06",NA,91.6477,80.2273,84.1283,"Improving","Improving","Improving"
"52",959,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,86.0497,93.9076,84.4115,93.0139,95.331,NA,84.4115,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 07",NA,86.0497,84.4115,87.2789666666667,"Improving","Improving","Not_Improving"
"53",960,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,99.5744,97.0281,87.9679,96.9418,97.1104,NA,87.9679,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 08",NA,99.5744,87.9679,90.9592,"Improving","Improving","Improving"
"54",961,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,95.6222,92.3354,93.2758,95.1349,96.657,NA,93.2758,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 09",NA,95.6222,93.2758,93.8955,"Improving","Improving","Improving"
"55",962,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,95.6356,97.6176,95.2897,97.6719,99.0341,NA,95.2897,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 10",NA,95.6356,95.2897,96.0837666666667,"Improving","Improving","Not_Improving"
"56",963,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,92.2247,96.408,88.7737,95.398,97.9826,NA,88.7737,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 11",NA,92.2247,88.7737,90.9818,"Improving","Improving","Improving"
"57",964,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,78.6759,92.1258,84.6694,93.8329,93.8375,NA,84.6694,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Bronx 12",NA,78.6759,84.6694,87.7239,"Not_Improving","Not_Improving","Not_Improving"
"58",965,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,85.7305,90.2472,82.647,89.5747,92.5406,NA,82.647,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 01",NA,85.7305,82.647,84.9562333333333,"Improving","Improving","Improving"
"59",966,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,94.668,94.296,94.3007,94.7639,94.7509,NA,94.3007,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 02",NA,94.668,94.3007,94.4551,"Improving","Improving","Improving"
"60",967,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,84.8507,89.3054,69.8679,89.3699,90.7134,NA,69.8679,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 03",NA,84.8507,69.8679,76.3685666666667,"Improving","Improving","Improving"
"61",968,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,90.9624,89.1361,83.9699,90.4555,92.1412,NA,83.9699,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 04",NA,90.9624,83.9699,86.1317666666667,"Improving","Improving","Improving"
"62",969,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,90.4854,94.0691,72.6987,89.9037,92.0731,NA,72.6987,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 05",NA,90.4854,72.6987,78.4337,"Improving","Improving","Improving"
"63",970,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,91.6397,94.5301,88.306,95.887,96.0281,NA,88.306,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 06",NA,91.6397,88.306,90.833,"Improving","Improving","Improving"
"64",971,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,96.5376,91.7999,94.3816,92.6208,92.3494,NA,94.3816,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 07",NA,96.5376,94.3816,93.7946666666667,"Improving","Improving","Improving"
"65",972,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,88.1614,90.2882,70.8055,89.9042,91.8953,NA,70.8055,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 08",NA,88.1614,70.8055,77.1717333333333,"Improving","Improving","Improving"
"66",973,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,81.1748,89.9741,76.1596,91.1629,92.9919,NA,76.1596,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 09",NA,81.1748,76.1596,81.1607,"Improving","Improving","Improving"
"67",974,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,98.9837,94.2948,95.6641,97.5048,97.8118,NA,95.6641,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 10",NA,98.9837,95.6641,96.2776666666667,"Improving","Improving","Improving"
"68",975,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,93.2513,93.9637,90.7145,93.8597,93.9408,NA,90.7145,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 11",NA,93.2513,90.7145,91.7629,"Improving","Improving","Improving"
"69",976,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,86.562,85.772,75.1448,85.0633,86.3137,NA,75.1448,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 12",NA,86.562,75.1448,78.4509666666667,"Improving","Improving","Improving"
"70",977,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,91.9417,94.864,87.1651,94.4571,93.7947,NA,87.1651,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 13",NA,91.9417,87.1651,89.5957666666667,"Improving","Improving","Improving"
"71",978,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,95.4161,90.055,93.0243,92.4286,93.3653,NA,93.0243,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 14",NA,95.4161,93.0243,92.8257333333333,"Improving","Improving","Improving"
"72",979,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,91.9204,94.9176,91.6642,94.238,97.4779,NA,91.6642,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 15",NA,91.9204,91.6642,92.5221333333333,"Improving","Improving","Not_Improving"
"73",980,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,88.2172,88.9892,78.8204,86.9074,92.1605,NA,78.8204,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 16",NA,88.2172,78.8204,81.5160666666667,"Improving","Improving","Improving"
"74",981,"Up","No","827","827102","Department of Sanitation","102","CLEANING & COLLECTION",NA,81.7845,94.4988,75.1627,94.2244,95.8486,NA,75.1627,NA,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Increase street and sidewalk cleanliness.","Streets rated acceptably clean (%) - Brooklyn 17",NA,81.7845,75.1627,81.5166,"Improving","Improving","Improving"
