Agency Number,Agency Full Name,Raw Service,Service,Unit of Appropriation,U/A Name
71,Department of Homeless Services,Customer Service,Customer Service,101,ADMINISTRATION - PS
71,Department of Homeless Services,"Help chronically unsheltered homeless individuals find stable, safe living situations.","Help chronically unsheltered homeless individuals find stable, safe living situations.",102,STREET PROGRAMS - PS
71,Department of Homeless Services,Agency-wide Management,Agency-wide Management,101,ADMINISTRATION - PS
32,Department of Investigation,"Conduct background and fingerprint checks for certain City employees, contractors and day care workers.","Conduct background and fingerprint checks for certain City employees, contractors and day care workers.",1,PERSONAL SERVICES
32,Department of Investigation,Customer Service,Customer Service,1,PERSONAL SERVICES
32,Department of Investigation,"Investigate possible corruption, fraud, waste and unethical conduct in City government.","Investigate possible corruption, fraud, waste and unethical conduct in City government.",3,INSPECTOR GENERAL-PS
846,Department of Parks and Recreation,Manage the City’s parks and recreation facilities.,Manage the City's parks and recreation facilities.,2,MAINTENANCE & OPERATIONS
846,Department of Parks and Recreation,Customer Service,Customer Service,1,EXEC MGMT & ADMIN
846,Department of Parks and Recreation,"Manage the City’s street, park and forest trees.","Manage the City's street, park and forest trees.",2,MAINTENANCE & OPERATIONS
846,Department of Parks and Recreation,Provide recreational and educational opportunities for New Yorkers of all ages.,Provide recreational and educational opportunities for New Yorkers of all ages.,4,RECREATION SERVICES
846,Department of Parks and Recreation,Agency-wide Management,Agency-wide Management,1,EXEC MGMT & ADMIN
846,Department of Parks and Recreation,Preserve and expand the infrastructure of New York’s park system.,Preserve and expand the infrastructure of New York's park system.,3,DESIGN & ENGINEERING
781,Department of Probation,Improve community safety through a combination of accountability and support activities with those under probation supervision.,Improve community safety through a combination of accountability and support activities with those under probation supervision.,1,EXECUTIVE MANAGEMENT
781,Department of Probation,Contribute to optimal court processing and decision-making in delinquency and criminal justice matters.,Contribute to optimal court processing and decision-making in delinquency and criminal justice matters.,2,PROBATION SERVICES
781,Department of Probation,Customer Service,Customer Service,1,EXECUTIVE MANAGEMENT
860,Department of Records and Information Services,Provide the public and City agencies with access to public records and publications.,Provide the public and City agencies with access to public records and publications.,100,PERSONAL SERVICES
860,Department of Records and Information Services,Customer Service,Customer Service,100,PERSONAL SERVICES
860,Department of Records and Information Services,"Provide City agencies, the courts and district attorneys with record storage, retrieval and retention scheduling services.","Provide City agencies, the courts and district attorneys with record storage, retrieval and retention scheduling services.",100,PERSONAL SERVICES
827,Department of Sanitation,Collect and dispose of refuse.,Collect and dispose of refuse.,102,CLEANING & COLLECTION
827,Department of Sanitation,,,102,CLEANING & COLLECTION
827,Department of Sanitation,Agency-wide Management,Agency-wide Management,101,EXECUTIVE ADMINISTRATIVE
827,Department of Sanitation,Recycle refuse.,Recycle refuse.,102,CLEANING & COLLECTION
827,Department of Sanitation,"Clean streets, sidewalks, and vacant lots and address quality-of-life issues.","Clean streets, sidewalks, and vacant lots and address quality-of-life issues.",102,CLEANING & COLLECTION
827,Department of Sanitation,Prepare and clear snow and ice from City streets and roadways.,Prepare and clear snow and ice from City streets and roadways.,102,CLEANING & COLLECTION
827,Department of Sanitation,Customer Service,Customer Service,101,EXECUTIVE ADMINISTRATIVE
827,Department of Sanitation,Collect organics and compost it.,Collect organics and compost it.,102,CLEANING & COLLECTION
841,Department of Transportation,Customer Service,Customer Service,1,EXEC ADM & PLANN MGT.
841,Department of Transportation,Maintain the City’s transportation infrastructure.,Maintain the City's transportation infrastructure.,4,TRAFFIC OPERATIONS
841,Department of Transportation,Design public space to facilitate livability.,Design public space to facilitate livability.,4,TRAFFIC OPERATIONS
841,Department of Transportation,Provide a safe transportation network.,Provide a safe transportation network.,4,TRAFFIC OPERATIONS
841,Department of Transportation,Agency-wide Management,Agency-wide Management,1,EXEC ADM & PLANN MGT.
841,Department of Transportation,Design and build transportation alternatives.,Design and build transportation alternatives.,4,TRAFFIC OPERATIONS
63,Department of Veterans Services,Assist Veterans and their families with accessing eligible resources.,Assist Veterans and their families with accessing eligible resources.,102,CLEANING & COLLECTION
63,Department of Veterans Services,Provide supportive services to Veterans and their families.,Provide supportive services to Veterans and their families.,1,PERSONAL SERVICES
#N/A,Economic Development Corporation,"Manage, maintain and enhance City assets to attract businesses.","Manage, maintain and enhance City assets to attract businesses.",0,0
#N/A,Economic Development Corporation,Develop and build physical assets and infrastructure in all five boroughs.,Develop and build physical assets and infrastructure in all five boroughs.,0,0
#N/A,Economic Development Corporation,Provide resources to targeted industries and businesses.,Provide resources to targeted industries and businesses.,0,0
#N/A,Economic Development Corporation,Leverage City investments to support inclusive economic development.,Leverage City investments to support inclusive economic development.,0,0
#N/A,Economic Recovery Blueprint,"Support small businesses, entrepreneurship, and a more equitable economy.","Support small businesses, entrepreneurship, and a more equitable economy.",#N/A,#N/A
#N/A,Economic Recovery Blueprint,Economic Recovery Indicators.,Economic Recovery Indicators.,#N/A,#N/A
#N/A,Economic Recovery Blueprint,Drive inclusive sector growth and build a future-focused economy.,Drive inclusive sector growth and build a future-focused economy.,#N/A,#N/A
#N/A,Economic Recovery Blueprint,Restart the City's economic engines and reactivate the public realm.,Restart the City's economic engines and reactivate the public realm.,#N/A,#N/A
57,Fire Department of New York,Protect lives and property from fire hazards and other emergency conditions.,Protect lives and property from fire hazards and other emergency conditions.,2,FIRE EXTING AND EMERG RESP
57,Fire Department of New York,,,#N/A,#N/A
57,Fire Department of New York,Agency-wide Management,Agency-wide Management,1,EXECUTIVE ADMINISTRATIVE
57,Fire Department of New York,Respond to medical emergencies.,Respond to medical emergencies.,9,EMERGENCY MEDICAL SERVICES-PS
57,Fire Department of New York,Customer Service,Customer Service,1,EXECUTIVE ADMINISTRATIVE
#N/A,Health And Hospitals Corp,"Provide medical, mental health and substance abuse services to New York City residents regardless of their ability to pay.","Provide medical, mental health and substance abuse services to New York City residents regardless of their ability to pay.",0,0
#N/A,Housing Blueprint,Reduce Administrative Burden,Reduce Administrative Burden,#N/A,#N/A
#N/A,Housing Blueprint,Create and Preserve Affordable Housing,Create and Preserve Affordable Housing,#N/A,#N/A
#N/A,Housing Blueprint,Transform NYCHA,Transform NYCHA,#N/A,#N/A
#N/A,Housing Blueprint,Improve the Health and Safety of New Yorkers,Improve the Health and Safety of New Yorkers,#N/A,#N/A
806,Housing Preservation and Development,Provide opportunities for New Yorkers to live in housing that is affordable and financially stable.,Provide opportunities for New Yorkers to live in housing that is affordable and financially stable.,2,OFFICE OF DEVELOPMENT
806,Housing Preservation and Development,Provide opportunities for New Yorkers to achieve economic advancement through housing-related workforce opportunities.,Provide opportunities for New Yorkers to achieve economic advancement through housing-related workforce opportunities.,1,OFFICE OF ADMINISTRATION
806,Housing Preservation and Development,,,#N/A,#N/A
806,Housing Preservation and Development,Offer New Yorkers housing-related subsidies and support efficiently.,Offer New Yorkers housing-related subsidies and support efficiently.,3,RENTAL SUBSIDY PROGRAMS - PS
806,Housing Preservation and Development,Ensure that housing throughout NYC is physically safe and habitable.,Ensure that housing throughout NYC is physically safe and habitable.,4,OFFICE OF HOUSING PRESERVATION
806,Housing Preservation and Development,Customer Service,Customer Service,1,OFFICE OF ADMINISTRATION
69,Human Resources Administration,Improve access to assistance that provides economic stability to support the basic needs of all eligible children and adults.,Improve access to assistance that provides economic stability to support the basic needs of all eligible children and adults.,203,PUBLIC ASSISTANCE
69,Human Resources Administration,Provide support services for eligible vulnerable and/or frail children and adults and for children and adults with disabilities.,Provide support services for eligible vulnerable and/or frail children and adults and for children and adults with disabilities.,201,ADMINISTRATION
69,Human Resources Administration,Reduce homelessness among children and adults.,Reduce homelessness among children and adults.,201,ADMINISTRATION
69,Human Resources Administration,Agency-wide Management,Agency-wide Management,201,ADMINISTRATION
69,Human Resources Administration,"Increase financial independence and upward mobility out of poverty through employment, education, skills enhancement, job search, job placement, wellness services and other supports.","Increase financial independence and upward mobility out of poverty through employment, education, skills enhancement, job search, job placement, wellness services and other supports.",205,ADULT SERVICES
69,Human Resources Administration,Customer Service,Customer Service,201,ADMINISTRATION
136,Landmarks Preservation Commission,"Identify and protect qualifying architectural, historical, cultural, and archaeological assets in all five boroughs.","Identify and protect qualifying architectural, historical, cultural, and archaeological assets in all five boroughs.",1,PERSONAL SERVICES
136,Landmarks Preservation Commission,Customer Service,Customer Service,1,PERSONAL SERVICES
25,Law Department,Represent the City of New York in litigation and other legal matters involving the City’s interests.,Represent the City of New York in litigation and other legal matters involving the City's interests.,1,PERSONAL SERVICES
25,Law Department,Agency-wide Management,Agency-wide Management,1,PERSONAL SERVICES
25,Law Department,Establish and enforce child support orders in interstate cases.,Establish and enforce child support orders in interstate cases.,1,PERSONAL SERVICES
25,Law Department,Customer Service,Customer Service,1,PERSONAL SERVICES
25,Law Department,Prosecute juvenile delinquency cases in Family Court.,Prosecute juvenile delinquency cases in Family Court.,1,PERSONAL SERVICES
25,Law Department,,,#N/A,#N/A
17,New York City Emergency Management,"Prepare City government, the public, and private and non-profit partners for any disaster.","Prepare City government, the public, and private and non-profit partners for any disaster.",1,PERSONAL SERVICES
17,New York City Emergency Management,"Coordinate citywide emergency mitigation, response, and recovery efforts.","Coordinate citywide emergency mitigation, response, and recovery efforts.",1,PERSONAL SERVICES
17,New York City Emergency Management,Customer Service,Customer Service,1,PERSONAL SERVICES
56,New York City Police Department,Manage public safety programs related to criminal activity.,Manage public safety programs related to criminal activity.,1,OPERATIONS
56,New York City Police Department,Manage public safety programs related to traffic safety.,Manage public safety programs related to traffic safety.,7,TRAFFIC ENFORCEMENT
56,New York City Police Department,,,#N/A,#N/A
56,New York City Police Department,Manage public safety programs related to quality of life.,Manage public safety programs related to quality of life.,1,OPERATIONS
56,New York City Police Department,Agency-wide Management,Agency-wide Management,1,OPERATIONS
56,New York City Police Department,Customer Service,Customer Service,1,OPERATIONS
56,New York City Police Department,"Ensure courteous, professional and respectful interactions with the community.","Ensure courteous, professional and respectful interactions with the community.",2,EXECUTIVE MANAGEMENT
#N/A,New York City School Construction Authority,"Design and construct new schools, additions and capital improvement projects authorized by the Department of Education.","Design and construct new schools, additions and capital improvement projects authorized by the Department of Education.",0,0
#N/A,New York Public Library,NYPL Performance Reporting - Branch,NYPL Performance Reporting - Branch,#N/A,#N/A
#N/A,New York Public Library,NYPL Performance Reporting - Research,NYPL Performance Reporting - Research,#N/A,#N/A
820,Office of Administrative Trials and Hearings,Adjudicate alleged violations of City administrative laws.,Adjudicate alleged violations of City administrative laws.,1,OFF OF ADM. TRIALS & HEARINGS
820,Office of Administrative Trials and Hearings,Adjudicate alleged violations of State and City administrative laws.,Adjudicate alleged violations of State and City administrative laws.,1,OFF OF ADM. TRIALS & HEARINGS
820,Office of Administrative Trials and Hearings,Provide conflict resolution services and restorative practices to City agencies and the public through OATH's Center for Creative Conflict Resolution.,Provide conflict resolution services and restorative practices to City agencies and the public through OATH's Center for Creative Conflict Resolution.,1,OFF OF ADM. TRIALS & HEARINGS
820,Office of Administrative Trials and Hearings,Customer Service,Customer Service,1,OFF OF ADM. TRIALS & HEARINGS
816,Office of Chief Medical Examiner,Perform the processes necessary to certify deaths falling within the agency's jurisdiction.,Perform the processes necessary to certify deaths falling within the agency's jurisdiction.,106,OFFICE OF CHIEF MEDICAL EXAMINER - PS
816,Office of Chief Medical Examiner,Provide services to the City for forensic purposes.,Provide services to the City for forensic purposes.,106,OFFICE OF CHIEF MEDICAL EXAMINER - PS
816,Office of Chief Medical Examiner,Customer Service,Customer Service,106,OFFICE OF CHIEF MEDICAL EXAMINER - PS
816,Office of Chief Medical Examiner,Respond to disasters and emergencies when fatalities are involved.,Respond to disasters and emergencies when fatalities are involved.,106,OFFICE OF CHIEF MEDICAL EXAMINER - PS
816,Office of Chief Medical Examiner,Provide mortuary services to the City.,Provide mortuary services to the City.,106,OFFICE OF CHIEF MEDICAL EXAMINER - PS
858,Office of Technology and Innovation,Customer Service,Customer Service,3,ADMIN/OPERATIONS PS
858,Office of Technology and Innovation,"Deliver City IT services including hardware, software, and technical support","Deliver City IT services including hardware, software, and technical support",1,TECHNOLOGY SERVICES - PS
858,Office of Technology and Innovation,Support sharing and management of citywide data and information.,Support sharing and management of citywide data and information.,3,ADMIN/OPERATIONS PS
858,Office of Technology and Innovation,Agency-wide Management,Agency-wide Management,3,ADMIN/OPERATIONS PS
858,Office of Technology and Innovation,"Arrange for free, fast, and reliable internet access to NYCHA eligible residents.","Arrange for free, fast, and reliable internet access to NYCHA eligible residents.",1,TECHNOLOGY SERVICES - PS
858,Office of Technology and Innovation,Regulate provisioning of public telecommunications services on City streets.,Regulate provisioning of public telecommunications services on City streets.,1,TECHNOLOGY SERVICES - PS
858,Office of Technology and Innovation,Regulate franchised cable services.,Regulate franchised cable services.,1,TECHNOLOGY SERVICES - PS
#N/A,Queens Public Library,QPL Performance Reporting,QPL Performance Reporting,#N/A,#N/A
801,Small Business Services,"Help businesses start, operate and expand in New York City.","Help businesses start, operate and expand in New York City.",1,DEPT. OF BUSINESS P.S.
801,Small Business Services,Customer Service,Customer Service,1,DEPT. OF BUSINESS P.S.
801,Small Business Services,Provide financial support and technical assistance for New York City's commercial districts throughout the five boroughs.,Provide financial support and technical assistance for New York City's commercial districts throughout the five boroughs.,1,DEPT. OF BUSINESS P.S.
801,Small Business Services,Help Minority and Women-owned Business Enterprises (M/WBE) identify and compete for City contracts.,Help Minority and Women-owned Business Enterprises (M/WBE) identify and compete for City contracts.,4,CONTRACT COMP & BUS. OPP - PS
801,Small Business Services,Meet businesses talent demands by connecting New Yorkers to good jobs.,Meet businesses talent demands by connecting New Yorkers to good jobs.,10,WORKFORCE INVESTMENT ACT - PS
156,Taxi and Limousine Commission,"Ensure the quality and safety of for-hire vehicle transportation services through effective regulation and administration of rules, standards and licensing requirements.","Ensure the quality and safety of for-hire vehicle transportation services through effective regulation and administration of rules, standards and licensing requirements.",1,PERSONAL SERVICE
156,Taxi and Limousine Commission,Customer Service,Customer Service,1,PERSONAL SERVICE
156,Taxi and Limousine Commission,Agency-wide Management,Agency-wide Management,1,PERSONAL SERVICE
#N/A,Vision Zero,VZ Service 1 - Traffic fatalities are preventable incidents.,VZ Service 1 - Traffic fatalities are preventable incidents.,#N/A,#N/A
#N/A,Vision Zero,VZ Service 2 - DATA-DRIVEN SOLUTIONS,VZ Service 2 - DATA-DRIVEN SOLUTIONS,#N/A,#N/A
